Gene	EnsemblId
irf5	ENSG00000128604
smchd1	ENSG00000101596
asxl1	ENSG00000171456
mrap2	ENSG00000135324
ahdc1	ENSG00000126705
lenep	ENSG00000163352
or4c15	ENSG00000181939
rnls	ENSG00000184719
rwdd2a	ENSG00000013392
cntnap3b	ENSG00000154529
map2k4	ENSG00000065559
eme1	ENSG00000154920
znf292	ENSG00000188994
heatr6	ENSG00000068097
brwd1	ENSG00000185658
plekhf1	ENSG00000166289
fcrla	ENSG00000132185
bage2	ENSG00000187172
lrp1b	ENSG00000168702
pom121l12	ENSG00000221900
tmem71	ENSG00000165071
usp32	ENSG00000170832
sspo	ENSG00000197558
rn7skp209	ENSG00000252697
ankrd20a5p	ENSG00000186481
dvl3	ENSG00000161202
agap2	ENSG00000135439
gon4l	ENSG00000116580
mtap	ENSG00000099810
ikzf3	ENSG00000161405
trps1	ENSG00000104447
pde4dip	ENSG00000178104
idh1	ENSG00000138413
foxa1	ENSG00000129514
oprd1	ENSG00000116329
ankhd1	ENSG00000131503
pm20d2	ENSG00000146281
cdk12	ENSG00000167258
tbp	ENSG00000112592
mcf2l2	ENSG00000053524
letm2	ENSG00000165046
mthfd2p1	ENSG00000244681
npap1	ENSG00000185823
pop4	ENSG00000105171
tubb8p7	ENSG00000261812
fgfr2	ENSG00000066468
fgfr3	ENSG00000068078
fgfr1	ENSG00000077782
mmp16	ENSG00000156103
fam47b	ENSG00000189132
mst1l	ENSG00000186715
wwox	ENSG00000186153
tbc1d12	ENSG00000108239
elf3	ENSG00000163435
usp13	ENSG00000058056
itga8	ENSG00000077943
kmt2b	ENSG00000272333
kmt2a	ENSG00000118058
lama4	ENSG00000112769
kmt2d	ENSG00000167548
col18a1	ENSG00000182871
tshz3	ENSG00000121297
casp8ap2	ENSG00000118412
itga3	ENSG00000005884
ep300	ENSG00000100393
pcdh8	ENSG00000136099
dcun1d1	ENSG00000043093
ano1	ENSG00000131620
fcgr2a	ENSG00000143226
pcdhac2	ENSG00000243232
rna5sp210	ENSG00000212336
zfhx4	ENSG00000091656
shank2	ENSG00000162105
itgax	ENSG00000140678
smg1	ENSG00000157106
fam86c2p	ENSG00000160172
psmd3	ENSG00000108344
baz1a	ENSG00000198604
tmprss13	ENSG00000137747
pou5f1b	ENSG00000212993
myeov	ENSG00000172927
rna5sp27	ENSG00000200709
flj36000	ENSG00000276399
rn7sl128p	ENSG00000240869
ulk4	ENSG00000168038
itpripl1	ENSG00000198885
nfe2l2	ENSG00000116044
acsm4	ENSG00000215009
sgip1	ENSG00000118473
frem2	ENSG00000150893
kdm6a	ENSG00000147050
pik3r1	ENSG00000145675
uri1	ENSG00000105176
erbb2	ENSG00000141736
nhlrc3	ENSG00000188811
aamdc	ENSG00000087884
spta1	ENSG00000163554
rn7sl149p	ENSG00000241834
atp11b	ENSG00000058063
akr1c1	ENSG00000187134
akr1c2	ENSG00000151632
rn7sl643p	ENSG00000243124
syn2	ENSG00000157152
rb1	ENSG00000139687
dspp	ENSG00000152591
march9	ENSG00000139266
arid5b	ENSG00000150347
ppfia1	ENSG00000131626
pappa2	ENSG00000116183
ccser1	ENSG00000184305
naca2	ENSG00000253506
spata31d1	ENSG00000214929
c7	ENSG00000112936
gata3	ENSG00000107485
potea	ENSG00000188877
abca10	ENSG00000154263
smad4	ENSG00000141646
map3k1	ENSG00000095015
fbxl7	ENSG00000183580
crebbp	ENSG00000005339
dlg1	ENSG00000075711
ints2	ENSG00000108506
arhgef12	ENSG00000196914
stac2	ENSG00000141750
rxrg	ENSG00000143171
rps6kb1	ENSG00000108443
pgap3	ENSG00000161395
uhmk1	ENSG00000152332
ank1	ENSG00000029534
ank2	ENSG00000145362
apobr	ENSG00000184730
xirp2	ENSG00000163092
appbp2	ENSG00000062725
fam186a	ENSG00000185958
rna5sp251	ENSG00000222546
ctnnb1	ENSG00000168036
igf2bp1	ENSG00000159217
mipol1	ENSG00000151338
mir548k	ENSG00000221333
pcdha7	ENSG00000204963
ush2a	ENSG00000042781
hcn1	ENSG00000164588
phb	ENSG00000167085
cdh9	ENSG00000113100
kin	ENSG00000151657
cdh1	ENSG00000039068
lrriq3	ENSG00000162620
cps1	ENSG00000021826
adad2	ENSG00000140955
ifna1	ENSG00000197919
croccp2	ENSG00000215908
itln2	ENSG00000158764
akt1	ENSG00000142208
znf598	ENSG00000167962
znf814	ENSG00000204514
slc25a30	ENSG00000174032
hs3st4	ENSG00000182601
pdgfra	ENSG00000134853
fat1	ENSG00000083857
nudt11	ENSG00000196368
tbx18	ENSG00000112837
fat4	ENSG00000196159
bcas3	ENSG00000141376
ubbp4	ENSG00000263563
ubxn11	ENSG00000158062
chic2	ENSG00000109220
sec22b	ENSG00000265808
ccdc168	ENSG00000175820
wasf1	ENSG00000112290
fam157b	ENSG00000233013
smim8	ENSG00000111850
slc35b1	ENSG00000121073
cbfb	ENSG00000067955
mst1p2	ENSG00000186301
lcp1	ENSG00000136167
tsc1	ENSG00000165699
lrrc4c	ENSG00000148948
ppp1r1b	ENSG00000131771
egfr	ENSG00000146648
arid1a	ENSG00000117713
xylt2	ENSG00000015532
stard3	ENSG00000131748
herc2p4	ENSG00000230267
ddhd2	ENSG00000085788
nrxn1	ENSG00000179915
gngt2	ENSG00000167083
col11a1	ENSG00000060718
stag2	ENSG00000101972
lipj	ENSG00000204022
lamp3	ENSG00000078081
or4n5	ENSG00000184394
wdr66	ENSG00000158023
ugt1a1	ENSG00000241635
raly	ENSG00000125970
gprin2	ENSG00000204175
cdhr1	ENSG00000148600
mbtd1	ENSG00000011258
casp8	ENSG00000064012
ddx12p	ENSG00000214826
ankrd30bp2	ENSG00000224309
dchs1	ENSG00000166341
ash2l	ENSG00000129691
cga	ENSG00000135346
pik3ca	ENSG00000121879
dnm1p47	ENSG00000259660
csf3	ENSG00000108342
mir31hg	ENSG00000171889
tspan31	ENSG00000135452
ankrd30bl	ENSG00000163046
mycbp2	ENSG00000005810
nsd1	ENSG00000165671
muc5b	ENSG00000117983
spata16	ENSG00000144962
bptf	ENSG00000171634
fbn2	ENSG00000138829
abca6	ENSG00000154262
med1	ENSG00000125686
rrn3p2	ENSG00000103472
mir3664	ENSG00000263744
abca8	ENSG00000141338
znf423	ENSG00000102935
dmrta1	ENSG00000176399
tsix	ENSG00000270641
ptprt	ENSG00000196090
cdk4	ENSG00000135446
rn7sl449p	ENSG00000242889
slc16a6	ENSG00000108932
itih5	ENSG00000123243
cyp24a1	ENSG00000019186
slc35f1	ENSG00000196376
wfikkn2	ENSG00000173714
gip	ENSG00000159224
cacna1b	ENSG00000148408
cacna1g	ENSG00000006283
ll22nc03-80a10.6	ENSG00000272779
nbpf9	ENSG00000269713
nlgn1	ENSG00000169760
notch1	ENSG00000148400
nek8	ENSG00000160602
siglec16	ENSG00000161643
atf6	ENSG00000118217
mtmr4	ENSG00000108389
dmd	ENSG00000198947
mir4760	ENSG00000263973
golga6l2	ENSG00000174450
fcgr3b	ENSG00000162747
keap1	ENSG00000079999
col1a1	ENSG00000108821
tpte2p6	ENSG00000205822
tssc2	ENSG00000223756
atxn1	ENSG00000124788
dnah14	ENSG00000185842
chad	ENSG00000136457
ca10	ENSG00000154975
ar	ENSG00000169083
alox12	ENSG00000108839
snhg14	ENSG00000224078
stk11	ENSG00000118046
ankrd20a8p	ENSG00000229089
ctcf	ENSG00000102974
zpbp2	ENSG00000186075
star	ENSG00000147465
ubap2l	ENSG00000143569
epha7	ENSG00000135333
epha5	ENSG00000145242
znf845	ENSG00000213799
astn1	ENSG00000152092
ubc	ENSG00000150991
brip1	ENSG00000136492
tpt1	ENSG00000133112
gabrr1	ENSG00000146276
gabrr2	ENSG00000111886
cpd	ENSG00000108582
ctnna2	ENSG00000066032
or6k2	ENSG00000196171
muc17	ENSG00000169876
muc16	ENSG00000181143
fbxl20	ENSG00000108306
muc12	ENSG00000205277
sox4	ENSG00000124766
